dept_acronym,shortcode,project_name,description,total_budget,estimated_completion_date,source,as_of_date,original_document_order
aafc,grdisppdap,Genomics Research and Development Initiative,"Genomics Research and Development Initiative Shared Priorities
 Projects Data Analysis Pla.tform - This platform will sit on the the GRDI infrastructure project being delivered by Shared Services Canada.",1730000,2019-03-31,8555-421-266,"June 9, 2016",5
aafc,gcsi,Government of Canada Secret Infrastructure,"Onboarding to Interim Government of Canada Secr_etlnfrastructure
 (IGCSI) Implementation - In support of the requirement to protect classified information assets, Shared Services Canada. will implement the technology required to onboard MFC to the Interim Government of Canada Secret
 Infrastructure (iGCSI) system. iGCSI is authorized for storing and processing Classified information up to Level II Secret and is currently used by a
 number of other deoartments.",1038000,2017-03-31,8555-421-266,"June 9, 2016",10
aafc,gcdp-crm,Grants and Contributions Digital CRM Platform,Grants and Contributions Digital Platform (GCDP) - Provide a G&C digital platform using an integrated Commercial-Off-The-Shelf {COTS) solution based on the MS Dynamics CRM platform.,11195560,2021-07-27,8555-421-2460,"May 1, 2019",109
aafc,,Grants and Contributions Digital Platform (GCDP) - Release 1,"To streamline the grants and contributions program administration, integrated program delivery, and management and reporting function, while improving client experience.  The foundational Client Relationship Model for non-business risk management programs to be integrated with AAFC's client relationship management solution.  This will align AAFC with Government of Canada digital policy and standards.",21289200,2022-09-30,8530-441-13-505,"April 25, 2022",6
aafc,,Grants and Contributions Digital Platform (GCDP) Release 2,"As follow-up to GCDP Release 1, this project will seek to  onboard NPF (Next Policy Framework) programs, integrate SAP commitment and claims payment functions, enhance other areas of the GCDP system.",2764300,2023-06-30,8530-441-13-505,"April 25, 2022",11
aafc,,GRDI GenARCC + Cloud HPC Pilot,"The next Genomics and Development Research Initiative (GRDI) funded shared priorities project named Genomic Adaptation and Resilience to Climate Change (GenARCC) requires IT resources in order to explore using genomics to assess, predict, and adapt to climate change for the protection of Canada's biodiversity, ecosystem resiliency, food security, and health.   Shared project among eight Government of Canada departments: AAFC, CFIA, DFO, ECCC, HC, NRC, NRCAN, and PHAC.  Showing grand total combined cost, not just AAFC portion.",2559000,2025-03-31,8530-441-13-505,"April 25, 2022",19
aafc,,Initial Infrastructure for Living Labs (LL),The Living Labs Division and local scientific staff will collect and store data generated by its projects in an integrated data platform. This activity will involve ensuring data storage and collection standards and mechanisms are aligned with the broader AAFC-STB (Science and Technology Branch) data agenda and ensure consistency of data collection and format across projects.,1018000,2022-07-30,8530-441-13-505,"April 25, 2022",3
aafc,lti,Library Transformation Initiative,"Library Transformation Initiative - Modernizing the delivery of information
 services and centralization of science related resources in partnership with
 other science departments.",2788000,2017-03-31,8555-421-266,"June 9, 2016",2
aafc,,M365 - DCCP (Digital Communications and Collaboration Platform) Platform Set Up and Outlook Migration,"To implement the Government of Canada Digital Communications and Collaboration Platform (DCCP) to ensure AAFC has the core tools and services for modern, secure, and reliable digital communications, including email, needed to serve Canadians.",7670000,2023-06-30,8530-441-13-505,"April 25, 2022",13
aafc,,M365 - Office Suite Migration,"To assess, procure and implement cloud-based office software and digital collaboration tools in alignment with the Government of Canada's digital vision and Cloud-First adoption strategy. M365 functionality will be expanded beyond core applications to respond to the highest priority items and initiatives.",1578000,2023-06-30,8530-441-13-505,"April 25, 2022",10
aafc,,Modernization of MAA (My AAFC Account) Portal Platform Software,Modernization of the My AAFC Account Portal addresses aging technology and allows AAFC to support farmers using modern software while streamlining and optimizing functionality.,3794700,2022-07-25,8530-441-13-505,"April 25, 2022",1
aafc,,My AAFC Account (MAA) - AgriStability and Agrilnvest Enhancements,To shift from paper to digital correspondence for AgriInvest and AgriStability through improvements made to the My AAFC Account portal.,1200000,2023-06-30,8530-441-13-505,"April 25, 2022",9
aafc,pssstp,MyGCHR,"PeopleSoft Shared Service Transition Project - Transition to the new, TBS mandated, HR service system (My GC HR), One Process (the Common Human Resources Business Processes - CHRBP), and One Set of Data
 (Common Configuration Standard).",6279429,2016-12-01,8555-421-266,"June 9, 2016",1
aafc,ogii,Open Government Implementation Initiative,"Open Government Implementation Initiative-To develop the Inventory,
 processes, datasets, workflows, guides, and checklists required for the loublication of MFC data to the TBS Open Government portal.",2724000,2020-03-31,8555-421-266,"June 9, 2016",3
aafc,,PeopleSoft Upgrade,"The Government of Canada’s HR Services Modernization is aimed at enhancing the efficiency of HR service delivery while taking advantage of economies of scale through the standardization of HR processes.  By working as a cluster, the GC strategic outcomes of economies of scale have already been realized by the PeopleSoft Shared Service. We are transitioning to the GC standard version of PeopleSoft.  Shared project among five Government of Canada departments: AAFC, CFIA, SSC, HC, and PHAC.  Showing grand total combined cost, not just AAFC portion.",4631600,2023-03-31,8530-441-13-505,"April 25, 2022",8
aafc,,Real Property Management Solution (RPMS),"Having a Real Property Management System will enable the department to better manage and assess the implications of the Federal Science Technology Infrastructure Initiative, be better prepared to implement recommendations from the Fixed Asset Review, and potentially position the department to prepare the necessary reports to support requests for additional infrastructure funding.",3583000,2023-06-30,8530-441-13-505,"April 25, 2022",12
aafc,,Regional Wi-Fi implementation,Wi-Fi implementation supports the hybrid model of AAFC's Future of Work and employees' return to offices. This is an opportunity for AAFC to implement and deploy the Government of Canada (GC) Wi-Fi Service (Enterprise Access) in prioritized Regional leased and Crown-owned buildings (e.g. Regional Development Centres) across Canada.,7000000,2025-03-31,8530-441-13-505,"April 25, 2022",20
aafc,cnsc-sap,SAP Cluster Solution,On boarding of the Canadian Nuclear Safety Commission to the MFG SAP Cluster Solution - Replacement of the Canadian Nuclear Safety Commission's (CNSC) current FreeBalance Management System and its supporting databases with an integrated SAP solution hosted by MFC.,6441134,2019-06-25,8555-421-2460,"May 1, 2019",107
aafc,sap-renewal,SAP Infrastructure Renewal,AAFC SAP Infrastructure Renewal - Upgrade and modernize the underlying SAP platform to reduce business risk and improve efficiency of operations.,4840710,2019-06-25,8555-421-2460,"May 1, 2019",108
aafc,,SAP S/4  - Planning and Transition,"To transition to the SAP S/4 on HANA for financial management and materiel management systems while aligning to the Government of Canada SAP footprint and the proposed SAP model company for government of Canada configuration with defined standardized  business processes.  Shared project among seven Government of Canada departments: AAFC, CFIA, NRCAN, ECCC, VAC, CNSC, OCEO.  Showing grand total combined cost, not just AAFC portion.",6102700,2024-01-31,8530-441-13-505,"April 25, 2022",14
aafc,supsd,Secure Use of Portable Storage Devices,"Secure Use of Portable Storage Devices - In order to adhere to TBS direction, MFC will need to develop and implement policy Instruments, technology and supporting processes to ensure that GC devices are encrypted and properly managed and that non-GC devices will become read
 only and scanned to reduce the likelihood of malware introduction when attached to the network.",1668288,2016-10-31,8555-421-266,"June 9, 2016",6
aafc,it-sdm,Service Desk Modernization,"Service Desk Modernization - Improve first line resolution, service desk operations and service performance of MFC's IT Client Services.",3378000,,8555-421-2460,"May 1, 2019",113
aafc,sp-gcdocs,SharePoint/GCdocs,SharePoint/GCDocs Foundation project - Provide AAFC employees with an integrated platform for documents and records management. Migration to GCDocs Solution • Develop interoperability solution to enable legacy applications to interface with GCDocs.,2300000,,8555-421-2460,"May 1, 2019",112
aafc,,STB (Science and Technology Branch) Science Management System,"Science and Technology Branch (STB) utilizes the Science Management Solution (SMS) for the management and delivery of AAFC research activities. The SMS system was built on an aging platform and is no longer able to fully support core business of the branch, therefore STB needs to identify and implement a new system that is able to support the branch.",12000000,2025-03-31,8530-441-13-505,"April 25, 2022",21
aafc,gc-admin,Streamline Grants and Contributions Program Administration,"Streamline Grants & Contributions program administration; provide a flexible and integrated program delivery, management and reporting; and improve the client service experience.",2601765,2022-03-29,8555-421-2460,"May 1, 2019",110
aafc,wri,Web Renewal Initiative,"Web Renewal Initiative - All active web content, including some
 applications, must be migrated to Canada.ca by December 2017. The main business driver and goal for the MFC Web Renewal Project is to achieve comoliance with the TBS-lead Web Renewal Initiative.",1331000,2017-12-31,8555-421-266,"June 9, 2016",8
aafc,,WebLogic Modernization Project,"To make the database platform more robust, prolong the sustainability of database systems, and ensure capacity availability for ongoing business operations.",1425000,2025-03-31,8530-441-13-505,"April 25, 2022",18
aafc,wmi,Workload Migration,"Workload Migration Implementation - To complete migration for 4 systems
 to the Enterprise Data Centre (EDC) with adequate network connectivity.
 Also Included Is the migration of approximately 20 applications off the Windows 2003 server.",1045000,2017-03-31,8555-421-266,"June 9, 2016",9
aafc,,Workload Migration (WLM) Readiness,"The Workload Migration (WLM) Program led by SSC (Shared Services Canada), facilitates the migration of government applications and data from aging legacy data centres to modern, secure and reliable IT solutions – whether Cloud, enterprise data centre (EDC) or a hybrid of both. The purpose is to support the enablement of trusted and secure digital services to Canadians and clients.",3630000,2024-03-31,8530-441-13-505,"April 25, 2022",16
acoa,gcpm,Government of Canada Program Management (GCPM) for Regional Development Agencies,"Government of Canada Program Management (GCPM): The design and build of a common, modern, and client-centric IM/IT system to support online delivery of the Regional Development Agencies' grants and contribution mandate. The proposed system would replace the agencies' inefficient and obsolete systems, offering various levels of automation and using a combination of applications.",2823289,2019-03-31,8555-421-266,"June 9, 2016",186
acoa,,New software application called CAPRI (Clients Assistance Projects Results Information) to be used as ACOA's primary system for delivering grants and contributions to businesses and communities in Atlantic Canada. This is a web application based on Microsoft Dynamics 365 (D365) software as a service (SaaS) platform.,Software application to manage the delivery of grants and contributions,1800000,2023-02-28,8530-441-13-505,"April 25, 2022",23
atssc,cms,Canadian Industrial Relations Board Case Management System Project,Canada Industrial Relations Board - Case Management System Project,3583707,2020-06-30,8555-421-2460,"May 1, 2019",320
cannor,gcpm,Government of Canada Program Management (GCPM) for Regional Development Agencies,"Government of Canada Program Management (GCPM): The design and build of a common, modern, and client-centric IM/IT system to support online delivery of the Regional Development Agencies' grants and contribution mandate. The proposed system would replace the agencies' inefficient and obsolete systems, offering various levels of automation and using a combination of applications.",464605,2019-03-31,8555-421-266,"June 9, 2016",187
cbsa,,Accelerated Radio Deployment Project,"The CBSA is moving aggressively to deploy modern digital radios to frontline officers to improve health and safety and ensure we are connected with public safety networks during times of emergency , including the ongoing support and life-cycle management of these assets.",21683052,2023-09-30,8530-441-13-505,"April 25, 2022",363
cbsa,atdp,Alternative to Detention Management Tools,"Alternative to Detention
 The CBSA to develop 'ATD release management' tools, under the umbrella of the ATD Program, to allow for the release of as many eligible individuals as possible from detention. The ATD Program is to be defined in an interdependent multi-scoped package that will introduce national compliance and release management tools.",,,8555-421-266,"June 9, 2016",303
cbsa,,Application Modernization,Modernize and migrate to the Cloud 85 the CBSA corporate and business lines applications.,56137655,2026-03-31,8530-441-13-505,"April 25, 2022",357
cbsa,apm,Application Portfolio Management Replacement Systems,"Replacement of the Canadian Processing Centre System (CPCS), the Travellers Entry Processing System (TEPS), the Telephone Reporting Centre System (TRCS), and the Casual Refund System (CRS)
 In 2017, the CBSA Application Portfolio Management (APM) exercise identified these systems as requiring attention due to low technical condition and
 hiah business value. This project is to intearate or miqrate the functionality within these aoolications to enterprise supported technoloav.",,,8555-421-2460,"May 1, 2019",356
cbsa,,ArriveCan,"Travellers will be able to submit their declaration in advance of their arrival in Canada, and complete a simplified kiosk transaction focusing on capturing an identity document and identity confirmation.",46424605,2023-09-18,8530-441-13-505,"April 25, 2022",366
cbsa,,Asylum Interoperability,"CBSA will work with Immigration, Refugee and Citizenship Canada to implement changes to existing functionality to increase efficiencies in Global Case Management System including automation, usability, optical character recognition, and increased storage.",8060987,2022-12-31,8530-441-13-505,"April 25, 2022",358
cbsa,biometric-expansion,Biometrics Expansion,"Biometric Expansion - led by Immigration, Refugees and Citizenship Canada (IRCC)
 Building upon the Temporary Resident Biometrics Program (TRBP) introduced in 2013, the Biometrics Expansion Project will further address identity management challenges. The expansion project comprises of the development and implementation of four main components for the CBSA:
 • Expansion of Biometrics capture and storage
 • Generic Passage Flow which defines the traveller pas.sage processing zones and associated functions
 • Information sharing such as the Criminal Removal Information Sharing function, with the other Four Country Conference partners (U.S. Australia, New Zealand, and Great Britain)
 • Service Oriented Architecture is a foundational platform on which the above systems and other business functions will rely on for calls/responses to/from other business or operational functions",65800000,2019-03-31,8555-421-266,"June 9, 2016",287
cbsa,biometric-expansion,Biometrics Expansion,"Biometric Expansion
 The scope of the expansion project will include three broad components:
 • Collection: Collect biometric information from all (currently only collect from citizens of 30 countries) foreign nationals (excluding U.S. nationals) applying for a temporary resident visa, work permit, study permit, or temporary resident permit; and al! permanent residence applicants.
 • Verification: Introduce systematic fingerprint verification for all biometrically enrolled travellers at major airports and expand fingerprint verification at additional ports of entry (i.e. airports and land borders).
 • Information sharing: Increase biometric information sharing between Canada and the U.S., and introduce biometric information sharing with the other
 MiQration 5 (formerly known as FCC - Five Countrv Conference) partners (Australia United Kinqdom and New Zealand).",71000000,2019-11-30,8555-421-2460,"May 1, 2019",338
cbsa,caed,Canadian Export Declarations System,"New Export System: Canadian Export Declarations system (CAED) Replacement ·
 This tool will ensure that the CBSA maintains its ability to gather export data electronically, maintain existing risk assessment methodologies and
 ,.,;11 ., .. t th .. fn, mri::ltinn fnr , ""' ,,, in th .. f11t11r..",,,8555-421-266,"June 9, 2016",304
cbsa,cers,Canadian Export Reporting System (CERS) and Canadian Automated Export Declarations system (CAED),"Canadian Export Reporting System (CERS), also known as Canadian Automated Export Declarations system (CAED) Replacement
 This tool will ensure that the CBSA maintains its ability to gather export data electronically, maintain existing risk assessment methodologies, and will set the foundation for proqram development in the future.",6500000,2020-03-31,8555-421-2460,"May 1, 2019",341
cbsa,carm,CBSA Accounts Revenue Management (CARM),"CBSA Accounts Revenue Management (CARM)
 The CARM Project will modernize and streamline CBSA trade processes and revenue·management by:
 • Introducing the ability to identify and track commercial clients by their Government of Canada business number;
 • Providing commercial clients with online program registration, account management, and payment abilities;
 • Replacing, integrating, and/or automating current revenue management
 and assessment IM/IT systems; and
 • Modernizing trade and revenue management processes through",371502595,2020-03-31,8555-421-266,"June 9, 2016",289
cbsa,carm,CBSA Accounts Revenue Management (CARM),"CBSA Accounts Revenue Management (CARM)
 The CARM Project is modernizing and streamlining CBSA trade processes and revenue management by:
 • introducing the ability to identify and track commercial clients by their Government of Canada business number;
 • providing commercial clients with online program registration, account management, and payment abilities;
 • replacing, integrating, and/or automating current revenue management and Information Management/Information Technology systems assessment; and
 • modernizinQ trade and revenue manaQement processes throuqh reenQineerinQ and modernization.",371500000,2021-07-31,8555-421-2460,"May 1, 2019",339
cbsa,,CBSA Assessment & Revenue Management (CARM),Will modernize and streamline CBSA trade processes and revenue management.,31191066,2022-10-17,8530-441-13-505,"April 25, 2022",365
cbsa,ctms,College Training Management System,"College Training Management System
 The broader scope of this project has been defined as delivering an enterprise, adaptive, modularized case management software solution that allows end-to-end management, control and operation of business objects and corresponding functional operational units, in support of the delivering Officer Induction Training Program (OITP), Arming, Dectector Dog Training Program (DDTP) and other CBSA training and other Government Department
 Services/Law Enforcement Services.",1430000,,8555-421-2460,"May 1, 2019",353
cbsa,cas,Corporate Accounting System Project System,"CAS Project System (PS)
 The implementation of Corporate Accounting System (CAS) Project System (PS) will enable improved and standardized project financial management through the integration of purchasing, payments, and timesheets data to a Work Breakdown Structure Element (WBSE) in
 r.11c",3723293,2016-05-07,8555-421-266,"June 9, 2016",288
cbsa,,Dynamic Risking,Will leverage predictive analytics and machine learning capabilities to generate a compliance indicator for all travellers in all modes entering Canada.,7851715,2022-09-27,8530-441-13-505,"April 25, 2022",361
cbsa,,E-Commerce Risk Assessment-Postal & LVS,"Introduce technology-enabled solutions to manage the rapid growth in volume of low value shipments, particularly found in the postal and express streams, and enhance the CBSA’s ability to process large volumes of transactional data.",12371733,2024-03-31,8530-441-13-505,"April 25, 2022",362
cbsa,edrms,Electronic Document and Records Management System,"Electronic Document and Records Management System (eDRMS) The purpose of the eDRMS Project is to move CBSA unstructured information that currently resides across a number of unmanaged/partially managed paper and electronic repositories into a
 ..,,..,1 r,:,ntr<>I r<>nncoilnrv",6200000,2016-07-20,8555-421-266,"June 9, 2016",290
cbsa,eti,Email Transformation Initiative,"Email Transformation Initiative (ETI) - led by Shared Services Canada (SSC)
 The Email Transformation Initiative (ETI) will consolidate and modernize
 Shared Services Canada (SSC) mandated email services (GCMail) to reduce costs, increase security, and enhance program delivery to",1400000,2016-06-30,8555-421-266,"June 9, 2016",291
cbsa,e-manifest,eManifest,"eManifest
 eManifest is a major transformative initiative and part of the overall measures the Government of Canada is putting in place to enhance the safety and security of Canadians and international trade while streamliningcross-border processes. When fully implemented, eManifest will require carriers, freight forwarders, and importers in all modes of transportation to electronically transmit Advance Commercial
 Information (ACI) to the CBSA within prescribed mode-specific time frames.",415109292,2017-03-31,8555-421-266,"June 9, 2016",292
cbsa,e-manifest,eManifest,"eManifest
 eManifest is a major transformative initiative and part of the overall measures the Government of Canada is putting in place to enhance the safety and security of Canadians, as well as international trade while streamlining cross-border processes. When fully implemented, eManifest will require trade chain partners in all modes of transportation to electronically transmit advance commercial information to the CBSA within prescribed mode-specific time
 frames.",415000000,2019-06-30,8555-421-2460,"May 1, 2019",337
cbsa,erass,Enterprise Risk Assessment Support Service,"Enterprise Risk Assessment Support Service (ERASS)
 ERASS provides the first and most effective enterprise-wide risk assessment service to support Agency decision making and program integrity. When fully implemented, ERASS will support all Lines of Business (Lo8s) including intelligence and enforcement, commercial and trade, and traveller in all modes: air, land, rail, and marine. The functionality will provide increased border security for Canada and the freer movement of goods across Canada's borders. ERASS is an enterprise service which will provide improved search and identity resolution functionalities. Direct search is a retrieval of information from one or more data sources based on known pieces of reference information, such as lookout number, port id, document number, etc.",2200000,2020-03-31,8555-421-2460,"May 1, 2019",347
cbsa,ee-rfid,Entry/Exit Information System,"Entry/Exit
 Entry/Exit will provide a coordinated Entry/Exit Information System between Canada and the US to allow for the exchange of accurate entry records on all travellers at all automated ports of entry at the land border, as well as allow for the provision of data collection from commercial air carriers on·an travellers on outbound international flights, both pending legislative and regulatory changes. The exit data will allow Canada to have a domain awareness of who is in the country, ensuring the safety of Canadians, while also enhancing the ability of law enforcement, national · security, and immigration and social benefits agencies to make informed and timely decisions. Entry Technology such as handheld devices, increased connectivity at select ports of entry, licence plate readers and RFID Readers are also included iri the Entry/Exit initiative to enhance information capture on travellers and mitigate border wait times.",131499223,2018-10-31,8555-421-266,"June 9, 2016",293
cbsa,ee-rfid,Entry/Exit Information System,"Entry/Exit including Radio Frequency Identification (RFID)
 Entry/Exit will provide a coordinated Entry/Exit Information System between Canada and the U.S. to allow for the exchange of accurate entry records on all travellers at all automated ports of entry at the land border, as well as allow for the provision of data collection from commercial air carriers on all travellers on outbound international flights, both pending legislative and regulatory changes. The exit data will allow Canada to have a domain awareness of who is in the country, ensuring the safety of Canadians, while also enhancing the ability of law enforcement, national security, and immigration and
 social benefits aqencies to make informed and timely decisions.",143900000,2020-06-01,8555-421-2460,"May 1, 2019",349
cbsa,fmt,Financial Management Transformation,"Financial Management Transformation (Planning, Budgeting and Forecasting)
 Initiative to improve financial agility, strengthen financial management capabilities, provide managers with tools and self-service reporting to better- manage and monitor financial positions, and re-orient core financial analysts' ability to lead financial analytics in support of modern financial
 manaqement.",6300000,2020-03-31,8555-421-2460,"May 1, 2019",348
cbsa,iss,Integrated Staffing Solution,"Integrated Staffing Solution
 This project will implement an automated staffing solution that will accept data from the Public Service Commission's staffing system and permit CBSA Staffing to manage selection and appointment processes, while updating CBSA's enterprise resource planning system of record with position and emplovee data.",1700000,2020-03-31,8555-421-2460,"May 1, 2019",352
cbsa,iapi,Interactive Advance Passenger Information,"Interactive Advance Passenger Information (IAPI)
 Interactive Advance Passenger Information (IAPI) will require commercial air carriers to provide Advance Passenger Information/Passenger Name Record (API/PNR) data prior to the flight's departure to Canada. The CBSA will send interactive board/no-board rnessages to the commercial air carrier for all travellers before the flight's departure.",49987380,2018-03-31,8555-421-266,"June 9, 2016",294
cbsa,iapi,Interactive Advance Passenger Information,"Interactive Advance Passenger Information (IAPI)
 Interactive Advance Passenger Information (IAPI) will require commercial air carriers to provide Advance Passenger Information/Passenger Name Record (API/PNR) data prior to the flight's departure to Canada. The CBSA will send interactive board/no-board messages to the commercial air carrier for all travellers before the fliqht's departure.",45800000,2019-08-30,8555-421-2460,"May 1, 2019",340
cbsa,paxis,Passenger Information System (PAXIS),"Passenger Information System (PAX]S) Optimization and Stability
 The Passenger Information System (PAX.IS) is a data acquisition and analysis system that processes and displays advance crew and passenger information for all international fliqhts destined for Canada",4100000,2020-06-30,8555-421-2460,"May 1, 2019",344
cbsa,,Passenger Protect Program,Will introduce a centralized screening model to screen prescribed traveller data against the Secure Air Travel Act list.,25512434,2023-03-31,8530-441-13-505,"April 25, 2022",355
cbsa,ppp,Passenger Protect Program (PPP),"Passenger Protect Program (PPP)
 This project is to enhance the effectiveness of the IT-enabled passenger screening solution. The desired outcomes are to enhance national security and provide an automated redress system.",56900000,2023-03-31,8555-421-2460,"May 1, 2019",345
cbsa,pay-system,Phoenix Pay System,"Pay Modernization - led by Public Works and Government Services Canada (PWGSC)
 The CBSA Pay Modernization Project supports PWGSC's implementation to replace the current payroll system, Regional Pay System (RPS), with a new GC PeopleSoft payroll solution (Phoenix) by 2015-2016.",5370570,2016-12-18,8555-421-266,"June 9, 2016",295
cbsa,pbfp,"Planning, Budgeting, and Forecasting Project","Planning, Budgeting and Forecasting Project (PBFP)
 In the years since the first implementation of CAS in 1999, CAS has expanded its scope significantly in terms of its business processe$, end user profiles and the business information captured. The Planning, Budgeting, and Forecasting Project will·establish a regime with tools that will support decision-making, strengthen financial management capabilities and improve financial agility.",1680000,2017-06-30,8555-421-266,"June 9, 2016",296
cbsa,poems,Port of Entry Management System (POEMS),"Port of Entry Management System (POEMS)
 Further the development and inteqration of the Port of Entrv Manaqement System with the aim to improve border operations.",1100000,2019-12-31,8555-421-2460,"May 1, 2019",342
cbsa,,Postal Modernization Initiative,"Will introduce technological advances and address three main areas: infrastructure renewal, information technology enhancement and policy reform.",8281523,2022-09-30,8530-441-13-505,"April 25, 2022",359
cbsa,pmi,Postal Modernization Initiative,"Postal Modernization Initiative (PMI) • led by Canada Post Corporation (CPC)
 The Postal Modernization Initiative (PMI) will introduce technological
 advances and address three main areas: infrastructure renewal, IT enhancement and policy reform. The end state would see the Postal Program leverage advance electronic data to support the use of targeting and risk assessment principles, while also addressing the outdated infrastructure and processes currently in place.",37488710,2018-03-31,8555-421-266,"June 9, 2016",297
cbsa,pmi,Postal Modernization Initiative,"Postal Modernization Initiative (PMI)
 Postal Modernization is improving the CBSA's ability to detect and interdict threats by mail, aligning processes with the future direction of the Canada Post Corporation, and streamlininq Canada's postal import processes.",32700000,,8555-421-2460,"May 1, 2019",343
cbsa,pik,Primary Inspection Kiosk Phase 1,"Primary Inspection Kiosk (PIK) 1.0
 PIK will develop a single, secure, automated passenger processing kiosk at airports to streamline border clearance processes, further automate passenger processing, and provide traveller information to advance
 I""''""''""'""'_,_,,
",3168495,2017-06-29,8555-421-266,"June 9, 2016",298
cbsa,pik,Primary Inspection Kiosk Phase 1,"Primary Inspection Kiosk (PIK)
 PIK Optimization is an enhancement to the CBSA's former Automated Border Clearance (ABC) program, in terms of eligibility and functionality, that allows up to 96% of travellers to be processed through kiosks. Eligibility for ABC kiosks extends to Canadian citizens, Canadian permanent residents and U.S. citizens, whereas all foreign nationals are eligible to use PIK. PIK also improves functionality by incorporating face authentication and ePassport validation for travellers with ePassports. It replaces the need to scan CBSA's current Declaration Card {E311) with a paperless on-screen
 declaration and eDeclaration mobile application.",13600000,2020-03-31,8555-421-2460,"May 1, 2019",350
cbsa,pik-2,Primary Inspection Kiosk Phase 2,"Primary Inspection Kiosks (PIK) 2.0
 The CBSA will expand eligibility for kiosks (PIK 2.0) for all travellers. The first generation of kiosks (PIK 1.0) and the eDeclaration app are
 I.. ,..hftrlulftrl  tnh  o n in in ?01fl",,,8555-421-266,"June 9, 2016",305
cbsa,,Rationalization & Optimization,"A stable, scalable information technology platform with sufficient bandwidth for growing business volumes and responsive and accessible information management and information technology services is a fundamental underpinning for digital, secure, and sustainable CBSA operations.",194898368,2026-03-31,8530-441-13-505,"April 25, 2022",364
cbsa,rcms,Recourse Content Management System,"Recourse Content Management System (RCMS)
 The objective of the RCMS project is to port existing functionality from three separate systems, to create a robust and integrated case management system with improved reporting capability, electronic workflow and electronic filing on a CBSA supported platform. This will permit the Agency to make more timely decisions, identify and address potential problems and improve business management. ·",2700000,2016-05-30,8555-421-266,"June 9, 2016",299
cbsa,,Secure Corridor Concept,The Secure Corridor Concept – Trusted Trader Pilot entails a multiphase approach that leverages technology to further enhance and expedite commercial processing for members of CBSA's trusted trader programs.,5721006,,8530-441-13-505,"April 25, 2022",360
